Jahr;Ort;Datum;TMP_MEAN;TMP_MIN;TMP_MAX;TMP_MEDIAN
2007;Berlin;2007-09-30;14.333333333333334;13.0;16.0;14.0
2007;Chicago;2007-10-07;24.575;22.2;26.1;25.0
2007;NewYork;2007-11-04;12.383333333333333;11.0;13.3;12.5
2007;Tokyo;2007-02-18;5.805;5.0;6.0;6.0
2008;Berlin;2008-09-28;12.75;10.0;15.0;13.0
2008;Chicago;2008-10-12;19.725;17.8;21.1;20.0
2008;NewYork;2008-11-02;7.3999999999999995;6.0;8.9;7.4
2008;Tokyo;2008-02-17;5.375;3.0;7.0;5.2
2009;Berlin;2009-09-20;18.166666666666668;14.0;22.0;18.5
2009;Chicago;2009-10-11;1.375;0.0;2.2;1.6500000000000001
2009;NewYork;2009-11-01;11.950000000000001;11.0;12.8;12.0
2009;Tokyo;2009-03-22;15.64375;15.0;16.8;15.95
2010;Berlin;2010-09-26;11.083333333333334;11.0;12.0;11.0
2010;Chicago;2010-10-10;19.45;16.1;21.7;20.0
2010;London;2010-04-25;13.416666666666666;11.0;15.0;14.0
2010;NewYork;2010-11-07;6.45;4.0;8.9;6.5
2010;Tokyo;2010-02-28;4.0;3.0;5.0;4.0
2011;Berlin;2011-09-25;15.583333333333334;12.0;18.0;15.5
2011;Chicago;2011-10-09;18.900000000000002;15.6;21.1;19.450000000000003
2011;London;2011-04-17;15.916666666666666;12.0;18.0;16.5
2011;NewYork;2011-11-06;9.0;6.7;11.7;9.0
2011;Tokyo;2011-02-27;8.806666666666667;6.0;13.0;8.0
2012;Berlin;2012-09-30;12.5;10.0;15.0;12.5
2012;Chicago;2012-10-07;6.4;3.9;7.8;6.949999999999999
2012;London;2012-04-22;11.833333333333334;10.0;14.0;11.5
2012;Tokyo;2012-02-26;6.04;5.5;6.8;6.0
2013;Berlin;2013-09-29;9.666666666666666;8.0;12.0;9.5
2013;Chicago;2013-10-13;12.225;8.9;13.9;13.05
2013;London;2013-04-21;10.166666666666666;7.0;13.0;10.5
2013;NewYork;2013-11-03;8.983333333333334;7.8;10.4;9.0
2013;Tokyo;2013-02-24;6.2125;5.0;8.0;6.4
2014;Berlin;2014-09-28;14.666666666666666;11.0;18.0;15.0
2014;Chicago;2014-10-12;10.3;7.8;11.7;10.85
2014;London;2014-04-13;12.166666666666666;11.0;15.0;12.0
2014;NewYork;2014-11-02;7.033333333333334;6.7;7.2;7.2
2014;Tokyo;2014-02-23;4.96;4.0;6.0;5.0
2015;Berlin;2015-09-27;13.166666666666666;10.0;15.0;14.0
2015;Chicago;2015-10-11;15.0;12.2;16.7;15.55
2015;London;2015-04-26;8.583333333333334;8.0;9.0;9.0
2015;NewYork;2015-11-01;14.9;14.4;15.6;15.0
2015;Tokyo;2015-02-22;5.529999999999999;4.6;6.1;6.0
2016;Berlin;2016-09-25;15.833333333333334;12.0;18.0;16.0
2016;Chicago;2016-10-09;12.225;10.6;13.3;12.5
2016;London;2016-04-24;7.416666666666667;5.0;9.0;7.5
2016;NewYork;2016-11-06;13.4;12.2;14.4;13.3
2016;Tokyo;2016-02-28;11.013333333333332;9.0;13.8;11.0
2017;Berlin;2017-09-24;14.416666666666666;14.0;15.0;14.0
2017;Chicago;2017-10-08;16.525;13.9;18.3;16.95
2017;London;2017-04-23;12.166666666666666;10.0;14.0;12.5
2017;NewYork;2017-11-05;13.863636363636363;13.3;14.4;13.9
2017;Tokyo;2017-02-26;9.593333333333334;8.0;12.6;10.0
2018;Berlin;2018-09-16;17.583333333333332;15.0;20.0;17.5
2018;Chicago;2018-10-07;15.0;15.0;15.0;15.0
2018;London;2018-04-22;21.583333333333332;20.0;23.0;21.5
2018;NewYork;2018-11-04;12.700000000000001;12.2;13.3;12.8
2018;Tokyo;2018-02-25;6.486666666666666;6.0;7.2;6.0
2019;Berlin;2019-09-29;15.0;15.0;15.0;15.0
2019;Chicago;2019-10-13;7.1;5.6;7.8;7.5
2019;London;2019-04-28;11.583333333333334;11.0;12.0;12.0
2019;NewYork;2019-11-03;9.15;7.2;11.1;9.15
2019;Tokyo;2019-03-03;5.935714285714285;4.4;7.0;6.0
